Offence,Contrary to,Maximum penalty,Type
Murder,Common law,Life,HOMICIDE AND RELATED GRAVE OFFENCES
Attempted Murder,Common law,Life,HOMICIDE AND RELATED GRAVE OFFENCES
Manslaughter,Common law,Life,HOMICIDE AND RELATED GRAVE OFFENCES
Soliciting to commit murder,Offences against the Person Act 1861 s4,Life,HOMICIDE AND RELATED GRAVE OFFENCES
Child destruction,Infant Life Preservation Act 1929 s11,Life,HOMICIDE AND RELATED GRAVE OFFENCES
Infanticide,Infanticide Act 1938 s11,Life,HOMICIDE AND RELATED GRAVE OFFENCES
Causing explosion likely to endanger life or property,Explosive Substances Act 1883 s2,Life,HOMICIDE AND RELATED GRAVE OFFENCES
Attempt to cause explosion making or keeping explosive etc.,Explosive Substances Act 1883 s3,Life,HOMICIDE AND RELATED GRAVE OFFENCES
Destroying damaging or endangering the safety of an aircraft,Aviation Security Act 1982 s 2,Life,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Endangering the safety of an aircraft,Aviation Security Act 1982 s 21b,Life,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Raciallyaggravated arson (endangering life),Crime and Disorder Act 1998 s 30,Life,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Kidnapping,Common law,Life,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
False imprisonment,Common law,Life,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Torture,Criminal Justice Act s134,Life,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Aggravated criminal damage,Criminal Damage Act 1971 s12,Life,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Aggravated arson,Criminal Damage Act 1971 s12 3,Life,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Arson (with value bigger than 30000),Criminal Damage Act 1971 s13,Life,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Hostagetaking,Taking of Hostages Act 1982 s1,Life,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Hijacking,Aviation Security Act 1982 s 1,Life,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Other acts endangering or likely to endanger the safety of an aircraft,Aviation Security Act 1982 s 3,Life,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Hijacking of ships,Aviation and Maritime Security Act 1990 s9,Life,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Endagering safety at aerodromes,Aviation and Maritime Security Act 1990 s1,Life,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Seizing or exercising control of fixed platforms,Aviation and Maritime Security Act 1990 s10,Life,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Destroying fixed platforms or endangering their safety,Aviation and Maritime Security Act 1990 s11,Life,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Other acts endangering or likely to endanger safety navigation,Aviation and Maritime Security Act 1990 s12,Life,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Offences involving threats,Aviation and Maritime Security Act 1990 s13,Life,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Offences relating to Channel Tunnel trains and the tunnel system,Channel Tunnel Security Order 1994,Life,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Genocide crimes against humanity war crimes and related offences other then one involving murder,International Criminal Court Act 2001 s51 or s52,30 years,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Possession of firearm with intent to endanger life,Firearms Act 1968 s16,Life,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Possession of firearm with intent to cause fear of violence,Firearms Act 1968 s16A,10 years,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Use of firearm to resist arrest,Firearms Act 1968 s171,Life,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Possession of firearm at time of committing or being arrested for offence specified in schedule 1 to that Act,Firearms Act 1968 s172,Life,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Possession of firearm with criminal intent,Firearms Act 1968 s18,Life,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Possession or acquisition of certain prohibited weapons etc.,Firearms Act 1968 s5,,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Possessing or distributing prohibited weapon or ammunition (5 year minimum sentence),Firearms Act 1968,10 years,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Trespassing with firearm or imitation firearm in a building,Firearms Act 1968,7 years,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Carrying firearm or imitation firearm in public place,Firearms Act 1968,7 years,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Shortening a shot gun  conversion of firearm,Firearms Act 1968,7 years,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Trading in firearms without being registered as firearms dealer,Firearms Act 1968,5 years,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Selling firearm to person without a certificate,Firearms Act 1968,5 years,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Repairing testing etc. firearm without a certificate,Firearms Act 1968,5 years,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Falsifying certificate etc. with view to acquisition of firearm,Firearms Act 1968,5 years,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Carrying of any offensive weapon in a public place without lawful authority or reasonable excuse,Prevention of Crime Act 1953 s1,4 years,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Manufacture sale hire offer for sale or hire exposure or possession for the purpose of sale or hire or lending or giving to any other person and the importation of flick knives and gravity knives (fine up to 5000),Restriction of Offensive Weapons Act 1959 s11,6 months,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Having an article with a blade or a sharp point in a public place without good reason or lawful authority. (An exemption applies to folding pocket knives with a blade of less than three inches).,Criminal Justice Act 1988 S139,2 years,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
unlawful marketing of knives as suitable for combat or in ways likely to stimulate or encourage violent behaviour,Knives Act 1997,2 years,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Aggravated burglary,Theft Act 1968 s10,Life,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Robbery or assault with intent to rob,Theft Act 1968 s8,Life,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Armed robbery,Theft Act 1968 s81,Life,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Assault with weapon with intent to rob,Theft Act 1968 s82,Life,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Blackmail,Theft Act 1968 s21,14 years,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Riot,Public Order Act 1986 s1,10 years,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Violent disorder,Public Order Act 1986 s2,5 years,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Contamination of goods with intent,Public Order Act 1986 s38,Life,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Causing death by dangerous driving,Road Traffic Act 1988 s1,14 years,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Causing death by careless driving while under the influence of drink or drugs,Road Traffic Act 1988 s3A,14 years,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Aggravated vehicle taking resulting in death,Theft Act 1968 s12A,14 years,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Causing danger to road users,Road Traffic Act 1988 s22A,,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Attempting to choke suffocate strangle etc.,Offences against the Person Act 1861 s21,Life,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Destroying or damaging property other then an offence of arson,Criminal Damage Act 1971 s12,Life,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Causing miscarriage by poison instrument,Offences against the Person Act 1861 s58,Life,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
Making threats to kill,Offences against the Person Act 1861 s16,10 years,OFFENCES INVOLVING SERIOUS VIOLENCE OR DAMAGE AND SERIOUS DRUGS OFFENCES
